49445,(75.4594,-295.396),(-743.898,151.17),(63.2275,-63.398),(790.128,-25.8695),(-751.49,278.022),(731.421,502.761),(-1305.16,634.62),(-386,439),(424.948,-310.817),(-1405.92,-33.6382),(852.094,276.823),(-648.128,788.13),(673.73,-766.711),(-29.599,90.7716),(-976.805,553.053),-1997,(-976.805,-553.053),(-29.599,-90.7716),(673.73,766.711),(-648.128,-788.13),(852.094,-276.823),(-1405.92,33.6382),(424.948,310.817),(-386,-439),(-1305.16,-634.62),(731.421,-502.761),(-751.49,-278.022),(790.128,25.8695),(63.2275,63.398),(-743.898,-151.17),(75.4594,295.396)
(87.3377,-1486.82),(314.167,526.779),(582.575,1010.65),(652.664,-922.153),(-640.31,-275.759),(-575.369,494.79),(-760.348,-13.5588),(-856.185,16.8702),(23.4929,-328.511),(-748.828,187.242),(-924.043,71.9139),(-756.111,968.701),(-215.032,-982.858),(-98.8303,450.921),(712.685,402.702),(1045.84,-584.689),(-357.637,-715.193),(-9.61568,139.927),(272.101,125.369),(805.831,-96.3354),(-1101.78,200.826),(1019.22,-323.995),(1117.55,166.802),(-587.687,75.2814),(322.298,140.316),(198.569,15.0299),(208.74,-227.431),(-565.764,-1040.34),(426.914,1388.47),(181.83,-295.147),(-858.753,6.93842),(703.833,137.797)
(-1765.31,-33.2113),(386.481,39.4921),(157.39,19.3764),(15.499,-559.023),(-168.197,-276.159),(336.459,-714.224),(119.909,693.946),(-384.692,-610.312),(893.619,614.549),(590.661,832.862),(-185.429,119.402),(-691.095,336.792),(-1004.67,-1028.2),(33.4995,-1049.27),(1065.75,-147.301),(1002.07,-146.986),(-335.17,-325.097),(1041.22,583.107),(-94.7654,-900.724),(-928.729,-238.7),(-93.3711,-274.611),(64.5155,-574.093),(-294.778,73.1764),(143.511,559.391),(-23.4698,-770.78),(1162.44,-13.5455),(-177.809,-217.802),(111.608,635.613),(426.509,-320.837),(123.522,834.266),(-895.575,-1103.55),(-194.288,-474.991)
(-400,-183),(401.803,185.219),(-1005.92,75.0943),(330.33,-734.364),(-86.9857,142.011),(32.9903,406.073),(405.049,229.031),(-289.988,662.918),(-1233,614),(-127.068,-820.512),(61.9693,-82.2306),(85.5664,505.272),(804.371,-216.212),(195.984,-574.711),(326.711,755.951),(649.215,1331.28),(-988,-355),(122.285,22.6498),(-804.439,-378.61),(51.4584,94.1306),(1322.99,-278.011),(-812.701,-599.745),(1837.14,705.451),(480.079,-1051.37),(-241,108),(612.727,-203.895),(1184.3,1363.91),(-527.172,-772.019),(115.715,121.175),(-18.9291,-698.254),(922.039,-630.214),(-846.474,281.968)
(-571.79,1272.33),(-400.811,738.018),(-942.134,-274.953),(-1518.53,-175.241),(-437.145,-1017.18),(232.819,-441.612),(825.293,177.59),(-83.9992,468.843),(258.626,-257.911),(970.227,-349.953),(-712.167,909.733),(599.673,435.077),(666.348,280.484),(75.6753,-355.598),(95.1354,-481.983),(-4.12566,-420.022),(197.374,-68.7899),(-811.306,1829.55),(741.033,-328.355),(394.898,740.743),(-131.947,-1141.72),(854.593,-939.582),(187.09,191.405),(299.635,-417.274),(466.17,-15.9806),(441.703,550.909),(529.106,1153.62),(-693.982,250.659),(150.426,120.92),(256.077,-779.763),(153.596,813.625),(538.034,-118.035)
(-100.492,-279.633),(-61.241,-638.274),(434.463,-75.9469),(-7.24636,314.696),(-1088.28,280.095),(144.902,-304.484),(-702.483,-888.108),(-845.189,1089.68),(405.049,-229.031),(-65.8221,57.1313),(-1208.7,290.372),(453.054,641.371),(-581.372,-1229.6),(-144.425,-545.468),(-802.239,428.879),(-154.288,-324.042),(-835.625,347.577),(542.082,1046.11),(-615.689,-897.881),(108.453,-261.76),(344.654,265.313),(640.649,-215.654),(145.085,869.242),(140.575,397.868),(958.979,762.485),(981.187,-258.93),(-959.021,-1401.55),(998.759,708.168),(-899.956,-352.779),(244.836,-395.4),(-1237.66,-42.4368),(278.08,82.0143)
(740.677,266.664),(-122.373,-292.149),(-678.245,-456.105),(378.511,777.224),(386.216,-886.094),(35.2029,517.886),(318.915,950.873),(342.251,35.0242),(373.308,591.935),(1009.66,-435.574),(686.124,-752.227),(302.433,-104.835),(-559.638,102.784),(185.565,85.4118),(-546.55,-141.238),(-578.363,143.461),(216.55,1059.77),(-890.64,-13.2935),(416.869,-540.299),(98.6333,-791.107),(-204.189,-882.062),(1031.45,1002.04),(479.065,1348.27),(241.164,-525.551),(1071.9,991.505),(-505.163,-435.179),(1025.24,728.207),(96.0067,-1542.65),(779.739,-84.5228),(-555.165,924.567),(-446.938,-388.287),(-287.838,720.427)
(372.345,-121.901),(319.031,-1005.98),(-876.674,-434.512),(285.123,915.023),(550.08,-1623.31),(-490.895,-188.644),(-1088.28,-280.095),(-956.828,1190.93),(-11.1692,470.999),(-740.91,-53.4398),(1094.16,244.137),(370.273,787.065),(-746.119,984.124),(-123.064,-260.397),(-675.087,-34.4687),(-51.9452,-277.693),(-736.907,770.824),(-1056.18,-722.292),(612.159,215.32),(667.061,29.1379),(779.22,515.894),(1181.13,-289.133),(170.853,899.912),(-1401.49,-86.8027),(346.166,72.2879),(16.6963,-364.052),(718.519,-28.6184),(190.217,441.624),(96.3504,403.007),(733.096,1224.73),(163.162,989.073),(-336.547,27.6413)
(-102.705,697.861),(482.503,-7.41059),(917.957,-210.006),(101.504,-35.1472),(1102.63,396.594),(-329.792,-435.217),(311.48,-1476.38),(-1518.53,175.241),(-185.598,-168.088),(-107.498,38.2845),(723.058,188.441),(253.198,1839.56),(465.144,-1289.53),(98.7104,-742.579),(831.658,-400.524),(889.597,175.028),(1314.21,726.658),(-325.001,351.077),(68.6245,842.156),(-5.17487,251.916),(1176.72,-415.587),(-707.807,463.399),(803.062,1028.3),(461.579,310.296),(-289.951,569.208),(-369.793,-1146.18),(231.528,-479.646),(-227.428,101.141),(472.721,289.931),(167.256,-988.998),(-86.8439,-10.0738),(902.035,152.147)
(-617.159,-278.484),(-109.962,526.719),(-561.355,359.073),(856.796,1274.18),(-50.927,1038.88),(-40.2221,-984.059),(434.463,75.9469),(1390.1,521.186),(1060.58,478.825),(-20.9512,130.007),(1025.61,-610.766),(-14.6868,-465.53),(154.459,394.778),(40.2013,142.491),(-51.3588,-361.348),(-435.745,-1271.8),(-745.331,744.232),(65.8455,-885.729),(-198.439,-69.3348),(714.141,-276.246),(305.487,651.762),(516.021,613.708),(-509.097,13.7189),(883.354,-171.043),(530.689,1700.57),(-247.963,-914.58),(303.153,49.1468),(-243.644,163.142),(53.7591,810.467),(187.698,-505.401),(291.719,1073.34),(-946.344,-66.9883)
(-52.0557,193.684),(-625.179,-957.309),(-20.522,142.32),(-208.536,-963.69),(-566.779,-432.353),(259.15,216.101),(-120.728,394.289),(1118.3,565.264),(767.114,-47.0849),(99.2061,-209.051),(-623.713,-551.556),(-368.662,-67.0523),(-755.951,468.286),(850.228,815.552),(834.455,179.965),(-568.817,-85.5426),(-102.697,-65.954),(-264.626,1203.69),(724.026,233.512),(61.5819,111.708),(-573.629,384.96),(864.477,-82.826),(117.395,-501.031),(617.967,-299.28),(-741.817,-257.697),(219.892,1252.1),(-415.901,-1629.17),(-268.504,298.456),(106.331,1007.57),(64.4024,-427.546),(-701.108,-85.4881),(-1441.01,229.621)
